topic_name,description,existing_category,is_new_topic,rationale,severity,mode,topic_id,product,product_id,cluster_size,elapsed,tokens,rag_similarities
Проблемы с приложением и подпиской,"Клиенты жалуются на неудобства в мобильном приложении, проблемы с оплатой подписки и рекламными прерываниями.",Приложение и подписка,False,Тема уже была обозначена ранее в кластере.,высокая,no_context,0,Видео-платформа,video_platform,256,17.35,114,
Проблемы с доступом к фильмам и сериалам,"Пользователи жалуются на ограниченный выбор фильмов и сериалов, отсутствие фильтров по жанру и стране производства, а также недоступность новых эпизодов.",Сервис контента,False,Тема уже существует в рамках категории сервис контента.,средняя,no_context,1,Видео-платформа,video_platform,66,4.25,121,
Реклама и трафик,"Пользователи жалуются на частую и раздражающую рекламу, а также на быстрое исчерпание трафика.",новая тема,True,Тема не была ранее отмечена в данных клиентах.,средняя,no_context,2,Видео-платформа,video_platform,59,3.99,106,
Проблемы с интерфейсом и работоспособностью,"Клиенты жалуются на неудобство навигации в меню, проблемы с работой сайта в браузере Safari и необходимость привязки карты.",Проблемы с интерфейсом и работоспособностью,False,"Тема уже была обозначена ранее, поэтому это не новая тема.",высокая,no_context,3,Видео-платформа,video_platform,39,4.47,139,
Проблемы с доставкой и наличии товара,"Клиенты жалуются на отсутствие доставки в их регион, недостаток товаров на складе и платные услуги самовывоза.",Доставка и наличие товара,False,"Тема уже существует и охватывает несколько аспектов доставки и наличия товара, включая платные услуги.",высокая,no_context,0,Маркетплейс,internet_shop,142,4.4,135,
Проблемы с наличием товара,Клиенты жалуются на отсутствие товаров в корзине и неопределенность в отношении состояния продаваемых товаров.,новая тема,True,"Тема не была упомянута ранее, а кластер содержит жалобы на отсутствие товаров и их состояние, что отличается от других известных проблем.",высокая,no_context,1,Маркетплейс,internet_shop,35,4.45,130,
Проблемы с заказом и доставкой товара,"Клиенты жалуются на бракованный товар, неправильную отмену заказов, несоответствие условий доставки и проверок качества товара.",Проблемы с качеством товара и услуг,False,Тема уже существует в кластере и относится к проблемам с качеством товара и услуг.,высокая,no_context,2,Маркетплейс,internet_shop,28,4.67,137,
Цены и доставка,Клиенты недовольны высокими ценами и отсутствием возможности бесплатной доставки из других городов. Также есть жалобы на низкое качество описания товаров и неудобство выбора.,Цены и доставка,False,"Тема уже была обозначена в предыдущих комментариях, поэтому это не новая тема.",средняя,no_context,3,Маркетплейс,internet_shop,16,4.56,138,
Проблемы с приложением и подпиской,"Клиенты жалуются на сложности с использованием мобильного приложения, включая проблемы со входом, тормоза при переходах между разделами, недостаток рекомендаций и навязчивую рекламу. Также есть недовольство по поводу стоимости подписки и её отмены.",Проблемы с воспроизведением или запуском фильмов/каналов,False,,высокая,static,0,Видео-платформа,video_platform,256,5.08,153,
Недостаток контента,"Пользователи жалуются на ограниченный выбор фильмов и сериалов, а также недоступность новых эпизодов.",Ассортимент фильмов/каналов,False,,средняя,static,1,Видео-платформа,video_platform,66,3.87,93,
