id;date;product;platform;text;topic
245;2025-10-01;Маркетплейс;WEB;Отсутствие поддержки. В МТС невозможно ни с кем связаться;0
246;2025-10-13;Маркетплейс;WEB;Обман со времён работы магазина, что приводит к большим напрасным тратам денег и времени. При чем имея информацию о моем заказе, не предупредили о изменении времени работы и не продлили срок хранения (салон вообще весь день закрыт был). Плохой сервис. Дорогая доставка. ;2
247;2025-10-29;Маркетплейс;WEB;Ни когда раньше не пользовался ;0
248;2025-10-20;Маркетплейс;WEB;При получении мной интернет-заказа, товар оказался неисправен.;0
249;2025-10-13;Маркетплейс;WEB;Не начислили кешбэк за покупку ;0
250;2025-10-06;Маркетплейс;WEB;Все выше описанное ;0
251;2025-10-17;Маркетплейс;WEB;нет сравнения ;0
252;2025-10-06;Маркетплейс;WEB;Не до конца ознакомились. Сразу опрос?;1
253;2025-10-09;Маркетплейс;WEB;нет возможности заказать товар без оплаты при получении ,сделали б хотя бы 50% от стоимости ;0
254;2025-10-25;Маркетплейс;WEB;Нужного товара нет в моем городе. В дальнейшем если ситуация не изменится то банковская карта бесполезна если бонусы по ней копятся а тратить нет возможностию.;1
255;2025-10-31;Маркетплейс;WEB;Оформлял рассрочку, одобрили, дождался смски о привозе товара в магазин МТС, приехал, а мне в магазине говорят, что одобрения не было…;-1
256;2025-10-21;Маркетплейс;WEB;где самовывоз в королёв;0
257;2025-10-20;Маркетплейс;WEB;Вы совсем ебанулись? За самовывоз 200 рублей ;0
258;2025-10-18;Маркетплейс;WEB;Цены не конкурентно способны. Доставка до магазина платная. Нет доставки из других городов, где товар в наличии. Нельзя как раньше платить 100% кешбэком;3
259;2025-10-04;Маркетплейс;WEB;Качество товара не соответствует действительности. ;0
260;2025-10-08;Маркетплейс;WEB;Делал однажды онлайн заказ (№88829860), по приезду через полгорода в магазин для получения подтверждённого заказа мне заявили , что товар бракованный !!! Никакого уведомления о браке не прислали,  не перезвонили предупредить, товар в онлайн магазине никак не помечен! Кто  то же подтверждает, что товар готов к выдаче? Сотрудники магазина сказали ,что я сам должен отменить заказ. Я отменил, пробую в другом магазине, если повторится напишу отзывов везде и не буду больше пользоваться вашими магазинами и кэшбеками !!!;2
261;2025-10-27;Маркетплейс;WEB;"выбираю ""сравнение"" и на экране всего 3 колонки товара . При том что на экране место полно, по краям пустое пространство - пусто. какой идиот сайт писал? Люди придумывают широкоформатные мониторы, дизайнеры мтс  не могут использовать все  экранное пространство";4
262;2025-10-14;Маркетплейс;WEB;Ужасная поддержка. Обращался по гарантии - все очень плохо.;1
263;2025-10-07;Маркетплейс;WEB;Невозможно оформить заказ. Сайт отвратительно работает. Выбрал товар, ввёл промокод и всё зависло. Что дальше делать не понятно. Помощи никакой. Оператор отсутствует и на заданные вопросы нет ответа.;2
264;2025-10-21;Маркетплейс;WEB;Личное;0
265;2025-10-12;Маркетплейс;WEB;Хочу обратиться с жалобой [ТЕЛЕФОН];0
266;2025-10-20;Маркетплейс;WEB;кривой говносайт с отстойным поиском и невозможностью посмотреть полный список товаров с фильтрами;1
267;2025-10-25;Маркетплейс;WEB;Почему-то телефон был уже вскрыт, это огорчило((;1
268;2025-10-27;Маркетплейс;WEB;Нет в в наличии телевизора;0
269;2025-10-20;Маркетплейс;WEB;заказанного мною телефона не было в наличии изначально. но заказ подтвердили. и пришлось просто так ехать чёрт пойми куда. а потом ещё и обратно. Добраться туда не просто. да и не бесплатно. Вменяемой реакции и компенсации не было никакой. Это издевательство просто какое то. Адекватное решение проблемы предложить такой же телефон по цене, за которую я сделал заказ. И наладить работу базы и интернет магазина. Не за мой счёт. Как то в маленьком интернет магазине мне заменили смартфон из за того, что из за их кабеля вышел из строя мой смартфон. Вот так выглядит адекватное решение проблемы. Да и я недорогой телефон заказывал. Цена вопроса для мтс очень низкая. ;4
