id;date;product;platform;text;topic
1;2025-11-30;Видео-платформа;ANDROID;Не те фильмы и сериалы ;1
2;2025-11-28;Видео-платформа;ANDROID;Навязывание всяких опросов;3
3;2025-11-18;Видео-платформа;ANDROID;Недьзя  свернуть;6
4;2025-11-23;Видео-платформа;IOS;Когда смотришь с телефона, через несколько минут требует фейс айди;-1
5;2025-11-17;Видео-платформа;ANDROID;Трафик улетает с тройной скоростью;2
6;2025-11-18;Видео-платформа;IOS;Список доступных фильмов+ стоимость, навигация не удобная, приходится постоянно включать поворот экрана, в Ютубе например, с этим все проще;0
7;2025-11-21;Видео-платформа;ANDROID;Программа телепередач не совподает с транслируемыми каналами;1
8;2025-11-23;Видео-платформа;IOS;Опять зависают программыTV (особенно НТВ),так уже было,потом исправили,теперь опять;0
9;2025-11-24;Видео-платформа;ANDROID;Маленькая коллекция фильмов хороших. Подписка внутри подписки бред. ;0
10;2025-11-30;Видео-платформа;IOS;Не могу убрать карту. Приложением не пользуюсь . Деньги списываются ;0
11;2025-11-25;Видео-платформа;IOS;Нет  сети. ;6
12;2025-11-30;Видео-платформа;IOS;Не пользуюсь а списывает без предупреждения ;0
13;2025-11-20;Видео-платформа;IOS;Прилипала. Невозможно отписаться;4
14;2025-11-29;Видео-платформа;ANDROID;Ничего!;6
15;2025-11-30;Видео-платформа;ANDROID;"Раньше когда я подключил премиум кино был безлимит сейчас доплачиваю и то не хватает ""безлимит"", какой безлимит если есть ограниченья? ";0
16;2025-11-21;Видео-платформа;ANDROID;С подпиской и вы задолбали своими рекламами прерывание эфир на ваши оекламы;0
17;2025-11-30;Видео-платформа;IOS;Нет интернета ;6
18;2025-11-20;Видео-платформа;IOS;Реклама, появляющаяся поверх каналов, не приветствуется.;2
19;2025-12-01;Видео-платформа;IOS;Мало фильмов ;1
20;2025-11-21;Видео-платформа;IOS;Мало фильмов и сериалов которые я смотрю ;1
21;2025-11-20;Видео-платформа;IOS;Периодически не грузит тв каналы. Впн не роль дуюсь интернет хороший ;0
22;2025-11-28;Видео-платформа;IOS;На телевизоре приложение не работает;1
23;2025-11-18;Видео-платформа;ANDROID;Непонятный тариф подключения.  Тариф подключ?н, а что бы  посмотреть фильм, надо подключить другой тариф.        ;0
24;2025-11-20;Видео-платформа;ANDROID;Баги мобильного приложения, при смене ориентации зависает и требует повторный старт;0
25;2025-11-15;Видео-платформа;IOS;Приложение не работает на телевизоре;1
26;2025-11-19;Видео-платформа;IOS;На телефоне работает идеально,а вот на телевизоре ни один фильм не воспроизводится. Если у вас ограничения на работу приложения на территории Крыма ( хотя это тоже Россия) - надо хотя бы мелким шрифтом об этом писать- что не на каждом телевизоре он будет работать. А так- нареканий нет. Широкий выбор ,отличное качество ;0
27;2025-11-14;Видео-платформа;ANDROID;Не работает в Республике Крым;3
28;2025-11-25;Видео-платформа;ANDROID;Нет региональных каналов нашего города.;6
29;2025-11-20;Видео-платформа;ANDROID;"Приложение часто вылетает из аккаунта, что на телефоне, что на телевизоре.  Убрали каналы ""вижу"" ";0
30;2025-11-15;Видео-платформа;ANDROID;Поддержка при проблемах это позор;-1
31;2025-11-18;Видео-платформа;ANDROID;Реклама в приложении жутко тормозит работу самого приложения.;2
32;2025-11-25;Видео-платформа;ANDROID;Безлимит не работает;3
33;2025-11-27;Видео-платформа;ANDROID;Дожили. 20 Гб за один вечер, чтобы посмотреть НТВ. Как так. Совсем берегов не видите. Совсем заелись. ;0
34;2025-11-15;Видео-платформа;ANDROID;При покупке премиум не все каналы доступны.;-1
35;2025-11-19;Видео-платформа;IOS;Абсолютная невозможность управлять подпиской. Кнопка отписка не активна! Жмешь ничего не меняется. Чтобы отписаться - нужно пройти 300 кругов Ада ;0
36;2025-11-15;Видео-платформа;ANDROID;Мало триллеров стран Великобритании, Скандинавии, Испании в бесплатной  подписке;7
37;2025-11-21;Видео-платформа;ANDROID;Список доступных каналов, нет даже стандартного доступного списка. Навязчивая реклама. ;0
38;2025-11-17;Видео-платформа;ANDROID;Когда сворачиваешь приложение не открывается маленькое  окно   ;0
39;2025-11-16;Видео-платформа;ANDROID;Не интересно ;-1
40;2025-11-26;Видео-платформа;IOS;Списываются деньги не понятно зачем;0
41;2025-11-17;Видео-платформа;IOS;нет нориального приложения для макбук;6
42;2025-11-28;Видео-платформа;ANDROID;Мало новых фильмов и сериалов;1
43;2025-11-14;Видео-платформа;ANDROID;Приложение выглядит максимально несовременно. Очень плохо. А версия для ВебОС просто хр.ново работает.;0
44;2025-11-24;Видео-платформа;IOS;Проблемы с оплатой подписки , нельзя выбрать какой картой будет проводить оплату ;0
45;2025-11-25;Видео-платформа;ANDROID;Слишком много рекламы сервисов Кион;2
46;2025-11-20;Видео-платформа;IOS;Удержание дс;3
47;2025-11-22;Видео-платформа;IOS;Не удобное меню ;3
48;2025-11-24;Видео-платформа;ANDROID;Несколько факторов указанных в вашем списке это первый и третий ;-1
49;2025-11-30;Видео-платформа;ANDROID;Не работает поиск нужного фильма;1
50;2025-11-29;Видео-платформа;ANDROID;Продолжение просмотра на телевизоре иногда не запускается. Просмотры сериалов иногда не учитываются в призах. Приложение потребляет больше ресурсов, чем приложения других онлайн кинотеатров - из-за этого фризит иногда.;0
51;2025-11-19;Видео-платформа;ANDROID;Нельзя скачивать на карту памяти;-1
52;2025-11-18;Видео-платформа;IOS;Невозможно смотреть многие фильмы на новых территориях Российской Федерации ;1
53;2025-11-22;Видео-платформа;ANDROID;Не достаточно фильмов, почему то нет Невского, Метод( с Хабенским и др.;7
54;2025-11-14;Видео-платформа;ANDROID;То, что интересно, в по подписке.В последнее время выбор скудный.Я бы хотела видеть поиск более  понятный.  Фильмы по странам, выбор по режиссеру. Пока разберешься. ;0
55;2025-11-24;Видео-платформа;ANDROID;Уже второй месяц подряд приложение работает от силы 5 дней потом не работает ? вы только деньги получаете;0
56;2025-11-17;Видео-платформа;IOS;не работает с впн, а это важно потому что в РФ глушат связь и ты просто так тратишь такие деньги за подписку ;0
57;2025-11-23;Видео-платформа;IOS;Уже больше 1 месяца не работает кион на телевизоре! Я писала в поддержку и мне сказали, что они нашли проблему, но не знаю как её решить! ужасный сервис ;0
58;2025-11-29;Видео-платформа;ANDROID;Хуета;5
59;2025-11-30;Видео-платформа;ANDROID;Большой расход ГБ.;2
60;2025-11-17;Видео-платформа;IOS;Периодически исчезает звук;2
61;2025-11-20;Видео-платформа;ANDROID;Рекламы сторонние ;2
62;2025-11-14;Видео-платформа;IOS;Нестабильная работа приложения, постоянно висит, не работает ;2
63;2025-11-19;Видео-платформа;IOS;Я отключала подписку!!! Почему деньги сейчас списались! ;0
64;2025-11-26;Видео-платформа;ANDROID;Не работает;-1
